Data;Hour;Rain;Temp
16/01/2021;2300 UTC;0;20
17/01/2021;0000 UTC;0;19,5
17/01/2021;0100 UTC;0;19,2
17/01/2021;0200 UTC;0;18,6
17/01/2021;0300 UTC;0;18,1
17/01/2021;0400 UTC;0;17,9
17/01/2021;0500 UTC;0;17,5
17/01/2021;0600 UTC;0;17,4
17/01/2021;0700 UTC;0;17,6
17/01/2021;0800 UTC;0;17,3
17/01/2021;0900 UTC;0;17,7
17/01/2021;1000 UTC;0;18
17/01/2021;1100 UTC;0;19,1
17/01/2021;1200 UTC;0;22,2
17/01/2021;1300 UTC;0;23,9
17/01/2021;1400 UTC;0;23,5
17/01/2021;1500 UTC;0;24,3
17/01/2021;1600 UTC;0;25,8
17/01/2021;1700 UTC;0;25
17/01/2021;1800 UTC;0;25,6
17/01/2021;1900 UTC;0;24,1
17/01/2021;2000 UTC;0;23,7
17/01/2021;2100 UTC;0;21,5
17/01/2021;2200 UTC;0;19,9
17/01/2021;2300 UTC;0;19,7
18/01/2021;0000 UTC;0;19
18/01/2021;0100 UTC;0;18,7
18/01/2021;0200 UTC;0;18,3
18/01/2021;0300 UTC;0;18,4
18/01/2021;0400 UTC;0;18,3
18/01/2021;0500 UTC;0;18,2
18/01/2021;0600 UTC;0;17,8
18/01/2021;0700 UTC;0;17,7
18/01/2021;0800 UTC;0;16,9
18/01/2021;0900 UTC;0;16,9
18/01/2021;1000 UTC;0;18,5
18/01/2021;1100 UTC;0;21,1
18/01/2021;1200 UTC;0;23,5
18/01/2021;1300 UTC;0;22,6
18/01/2021;1400 UTC;0;24,3
18/01/2021;1500 UTC;0;25,5
18/01/2021;1600 UTC;0;26,7
18/01/2021;1700 UTC;0;28,2
18/01/2021;1800 UTC;0;28,7
18/01/2021;1900 UTC;0;25,5
18/01/2021;2000 UTC;0;27,5
18/01/2021;2100 UTC;0;23,7
18/01/2021;2200 UTC;0;22,5
18/01/2021;2300 UTC;0;21,4
19/01/2021;0000 UTC;0;20,7
19/01/2021;0100 UTC;0;20
19/01/2021;0200 UTC;0;19,6
19/01/2021;0300 UTC;0;19
19/01/2021;0400 UTC;0;18,8
19/01/2021;0500 UTC;0;18,4
19/01/2021;0600 UTC;0;18,8
19/01/2021;0700 UTC;0;18,8
19/01/2021;0800 UTC;0;18,3
19/01/2021;0900 UTC;0;18,3
19/01/2021;1000 UTC;0;20
19/01/2021;1100 UTC;0;21,1
19/01/2021;1200 UTC;0;22,8
19/01/2021;1300 UTC;0;24,9
19/01/2021;1400 UTC;0;26,2
19/01/2021;1500 UTC;0;27,3
19/01/2021;1600 UTC;0;27,4
19/01/2021;1700 UTC;0;27,8
19/01/2021;1800 UTC;0;28,7
19/01/2021;1900 UTC;0;27,8
19/01/2021;2000 UTC;0;25,8
19/01/2021;2100 UTC;0;24,1
19/01/2021;2200 UTC;0;23,1
19/01/2021;2300 UTC;0;22
20/01/2021;0000 UTC;0;20,9
20/01/2021;0100 UTC;0;20,5
20/01/2021;0200 UTC;0;19,9
20/01/2021;0300 UTC;0;19,9
20/01/2021;0400 UTC;0;19,3
20/01/2021;0500 UTC;0;18,8
20/01/2021;0600 UTC;0;18,9
20/01/2021;0700 UTC;0;17,7
20/01/2021;0800 UTC;0;17,4
20/01/2021;0900 UTC;0;17,6
20/01/2021;1000 UTC;0;19,6
20/01/2021;1100 UTC;0;21,3
20/01/2021;1200 UTC;0;23,6
20/01/2021;1300 UTC;0;25,2
20/01/2021;1400 UTC;0;27
20/01/2021;1500 UTC;0;27,1
20/01/2021;1600 UTC;0;28,6
20/01/2021;1700 UTC;0;28,2
20/01/2021;1800 UTC;0;28,1
20/01/2021;1900 UTC;0;27
20/01/2021;2000 UTC;0;25,6
20/01/2021;2100 UTC;0;23,4
20/01/2021;2200 UTC;0;22,2
20/01/2021;2300 UTC;0;21,2
21/01/2021;0000 UTC;0;20,5
21/01/2021;0100 UTC;0;19,6
21/01/2021;0200 UTC;0;19,4
21/01/2021;0300 UTC;0;19
21/01/2021;0400 UTC;0;18,8
21/01/2021;0500 UTC;0;18,3
21/01/2021;0600 UTC;0;18,6
21/01/2021;0700 UTC;0;18
21/01/2021;0800 UTC;0;17
21/01/2021;0900 UTC;0;16,8
21/01/2021;1000 UTC;0;18,1
21/01/2021;1100 UTC;0;18,4
21/01/2021;1200 UTC;0;21,7
21/01/2021;1300 UTC;0;24
21/01/2021;1400 UTC;0;24,6
21/01/2021;1500 UTC;0;26,7
21/01/2021;1600 UTC;0;27,4
21/01/2021;1700 UTC;0;27,5
21/01/2021;1800 UTC;0;27,1
21/01/2021;1900 UTC;0;26,2
21/01/2021;2000 UTC;0;24,3
21/01/2021;2100 UTC;0;22,6
21/01/2021;2200 UTC;0;21,4
21/01/2021;2300 UTC;0;20,6
22/01/2021;0000 UTC;0;19,8
22/01/2021;0100 UTC;0;19,5
22/01/2021;0200 UTC;0;19,4
22/01/2021;0300 UTC;0;19
22/01/2021;0400 UTC;0;18,9
22/01/2021;0500 UTC;0;18,6
22/01/2021;0600 UTC;0;17,7
22/01/2021;0700 UTC;0;16,7
22/01/2021;0800 UTC;0;16,4
22/01/2021;0900 UTC;0;16,8
22/01/2021;1000 UTC;0;19,3
22/01/2021;1100 UTC;0;21
22/01/2021;1200 UTC;0;22,8
22/01/2021;1300 UTC;0;24,7
22/01/2021;1400 UTC;0;25
22/01/2021;1500 UTC;0;26,6
22/01/2021;1600 UTC;0;27,7
22/01/2021;1700 UTC;0;26,1
22/01/2021;1800 UTC;0;26,4
22/01/2021;1900 UTC;0;25,3
22/01/2021;2000 UTC;0;23,9
22/01/2021;2100 UTC;0;22,1
22/01/2021;2200 UTC;0;21,1
22/01/2021;2300 UTC;0;20,4
23/01/2021;0000 UTC;0;19,9
23/01/2021;0100 UTC;0;19,5
23/01/2021;0200 UTC;0;19,2
23/01/2021;0300 UTC;0;18,1
23/01/2021;0400 UTC;0;17,7
23/01/2021;0500 UTC;0;17,3
23/01/2021;0600 UTC;0;17,6
23/01/2021;0700 UTC;0;17,3
23/01/2021;0800 UTC;0;17
23/01/2021;0900 UTC;1,6;16,9
23/01/2021;1000 UTC;1;16,8
23/01/2021;1100 UTC;0;17,3
23/01/2021;1200 UTC;0;17,5
23/01/2021;1300 UTC;0;20
23/01/2021;1400 UTC;0;23,9
23/01/2021;1500 UTC;0;25,4
23/01/2021;1600 UTC;0;26,2
23/01/2021;1700 UTC;0;24,4
23/01/2021;1800 UTC;0;24,6
23/01/2021;1900 UTC;0;25,4
23/01/2021;2000 UTC;0;24
23/01/2021;2100 UTC;0;22,1
23/01/2021;2200 UTC;0;20,7
23/01/2021;2300 UTC;0;20,3
24/01/2021;0000 UTC;0;19,7
24/01/2021;0100 UTC;0;20
24/01/2021;0200 UTC;0;19,1
24/01/2021;0300 UTC;0;18,2
24/01/2021;0400 UTC;0;17,4
24/01/2021;0500 UTC;0;16,8
24/01/2021;0600 UTC;0;16,6
24/01/2021;0700 UTC;0;16,9
24/01/2021;0800 UTC;0;16,6
24/01/2021;0900 UTC;0;16,1
24/01/2021;1000 UTC;0;17,2
24/01/2021;1100 UTC;0;19,9
24/01/2021;1200 UTC;0;22,4
24/01/2021;1300 UTC;0;24,1
24/01/2021;1400 UTC;0;26,1
24/01/2021;1500 UTC;0;26,2
24/01/2021;1600 UTC;0;27,6
24/01/2021;1700 UTC;0;25,9
24/01/2021;1800 UTC;0;25
24/01/2021;1900 UTC;0;23,4
24/01/2021;2000 UTC;0;23,3
